Name,Place ID,Formatted Address,Category,rating,total_reviews,Price Level,Review Text
life tea boba,ChIJ6Ud7fjqBeC4RBY7d-_93DbI,"Lantai 3, Foodcourt Matos, Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, point_of_interest, food, establishment",5,2,,"great tea for diet

"
Cor Net & Cafe,ChIJ6V2laV0p1i0RiHjC6YmB7XE,"JL Candi Trowulan, No. 4, Blimbing, Lowokwaru, Ruko Pelita Trowulan Square, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, food, establishment",4,1,,
Paradiso Coffee Bar,ChIJ6VAtuVUp1i0RrHezif9F1zI,"Jl. Soekarno Hatta No.18, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, food, point_of_interest, establishment",4.3,4,,"The layout and various kinds of menu dishes that are served do not make you feel disappointed





"
136 Coffeehouse,ChIJ6VZc6lP41y0RHDpgwRUNwok,"Megah Kavling 22, Jl. Soekarno Hatta Jl. Puncak Borobudur No.Ruko, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","store, cafe, point_of_interest, food, establishment",4.7,80,,"Good food in malang city

I always knew my brother will be successful with his coffee shop 136 with Mbak Mila. Wish them all the su ccess and more 136 coffee's to open in more cities in the future. Insya Allah, Amiin ya robbal alamiin.

Small coffee shop with great coffee and rice bowl. Love the live music as well

Recommended place to enjoy some coffee and explored our hobby at malang

Mantabb"
"Pisang Keju 7 Rasa H Kadap, Sigura gura",ChIJ6WDB-0eDeC4R0YNlAPQ4Ehs,"2JR5+VRM, Sumbersari, Lowokwaru, Malang City, East Java 65145, Indonesia","cafe, point_of_interest, food, store, establishment",4.7,30,,"The portions are big at a price of 17k, there are many variants of milk, chocolate, cheese. If you want to add toppings such as caramel and others, you can request and add 3k. It feels good.

Small size 10k
Big size 15k
Flavor consists of milk, chocolate, and cheese
Can add toppings by adding 3k
Good taste, delicious, and steady soul
Portion according to price
Recommended for those who like sweet taste

If you're looking for old school or home-style fried bananas, this is the place, with lots of toppings, you can choose, delicious, the toppings aren't stingy either, if you buy, you can choose medium or large portions

Prices are cheap, portions are large. The mini costs 12 thousand, the large 17 thousand.

The cheese bananas are delicious, the bananas are sweet, the toppings are quite a lot, a suggestion maybe if the chocolate is replaced with meses it will be more delicious to eat 👍🏻"
Cafe Kopi Suhat,ChIJ6wiIvzIp1i0Rv29CgVNf3Rk,"3J8H+5J7, Jl. Ikan Tombro, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, food, store, point_of_interest, establishment",4.5,112,,"This place is very nice for enjoy the coffee with friends or family, food and drink was good , but not many choice, anyway....i am happy to seat outdoor under the kamboja tree, love it...

Good

Good

Good place to hangout with old friend

Cozy abis"
Perspektif Coffee,ChIJ6wjcMpENeC4R-iwszNDmNao,"Jl. Ikan Tombro No.4, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, food, establishment",4.7,415,,"Very comfy! I like the interior design. Very good to hangout and meeting right here!!

Nice ambience, nice price too. I prefer the outdoor, so I can smoke. The toilet is clean too. If you would like to do your works there, I suggest to choose the outdoor, somehow the music they play is too loud for me.

From outside, the coffee shop looks cozy and comfy. It turned out to be out of my expectation. Many visitors smoked there. It is not a perfect place for you who wants to enjoy a cup of coffee over a convo with your friends or to do your school works. The coffee shop's owner should have managed the smoking and non-smoking areas so that people with different preferences will be happily coming over :)

Love this places so much, i really like ayam dabu dabu in here, if you want finding place to work outside, i recommended Perspektif, and come in 1pm - 6pm they have ""happy hours"" promo.

My favourite drinks: berry magenta and corn flake 👍🏽"
HD'R Comic Cafe,ChIJ6WmP7wEp1i0RINUYhtTKixE,"Jl. Bunga Coklat No.11, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, food, point_of_interest, establishment",4.6,453,2,"If possible, I'd definitely rank it 6/5 stars! This place has everything we are looking for: boardgames, mangas (comics), cozy sofa, coffee, and chicken pops! There is a wide variety of popular boardgames, a cozy playing room, and superfriendly & competent game masters. The day passes by so fast when you're here. But worry not, a praying room is available upstairs.
Not a fan of boardgames? No problem! Common spaces are available to work, read, or just chill.
The drinks and snack platters are delish and affordable.

This is the best board game cafe in Malang. The place is beautifully decorated. It near Brawijaya University. I love the chicken karagee with salted egg sauce. the service is okay. They provide a lot of boardgame and comic book for the visitor. This is highly recommended for you to go with your friends and family.

one of my fav comic cafe in town, spacious and clean. Affordable food and beverage

Are you an introverts who likes reading comics while munching good foods? Or are you an extroverts who like spending time playing various board games with you pals? Maybe you are and ambiverts who likes both. This cafe provides a lot of entertainments that may hold you to stay longer. The foods and drinks are relatively cheap and well made. It provides ice cream if available. I declare this place as my gathering venue.

A nice place to hangout and read comic books. Recently renovated to focus more on boardgames, where boardgames are available to rent with apropriate playspace and game master should you need one. Kids friendly boardgames are also available."
Kedai kopi kolibri,ChIJ6wVkFK_51y0RmPIEd-mZE04,"Jl. Joyo Raharjo No.281a, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, point_of_interest, establishment",4.4,54,,"Nice place, elegant, great taste,

Cozy for afternoon coffee

It's really recommended, it's really cool and very clean, maybe it's a little stuffy, you just need to give it air conditioning or at least there is an exhaust for special airflow inside and outside it's nice to hang out. In terms of overall price 15 thousand. Very good, please stop by and don't hesitate

The hidden gems this time are around the village of Dinoyo... For those of you who don't want to be too crowded and not noisy from the busy streets, this place is perfect. For drinks, the average price is 20 thousand. Yes, it's okay for students or workers.

Order the hot caramel latte, it's great this time.. 👍🏼☕

The place is comfortable, clean, there when it's quiet
There are indoor and outdoor"
"Jamu ""Mbak Ve Sawojajar"" ( Mbak Ve Kicthen )",ChIJ6WWfjDMr1i0RlB9kUztcZ8c,"H1-G15, Jl. Danau Sentani Tim. III No.G.15, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia","cafe, point_of_interest, food, establishment",4.8,5,,"Delicious and healthy

Because Jamu Nasi Kencur, Ms. Ve, is the best Jamu I've ever drank

Original ingredients without preservatives...



"
Warung pecel bu yayuk,ChIJ6XjmKGgo1i0RSG8GTGPj78U,"Jl. Kebalen Wetan No.49, Kotalama, Kec. Kedungkandang, Kota Malang, Jawa Timur 65136, Indonesia","cafe, food, store, point_of_interest, establishment",5,2,,"The menu is delicious, the people are friendly, the prices are cheap, I don't regret having been there, it's always healthy, Mom, Yayuk and his family 😁🙏

comfortable place..
Cheap price
The best pecel in Malang
If you don't believe me, try to prove it yourself"
"Angsle & Ronde "" SOBOR """,ChIJ6XsrBlsp1i0RsA0nI-EfRJM,"2M93+JMH, Jl. Danau Ranau, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia","cafe, food, point_of_interest, establishment",4.2,5,,", the price is cheap, the taste is good, it doesn't get hot quickly even though the portions are large 👌 the coconut milk bounces thick and sweet and just right, this poor family subscribes to it

Very tasty & delicious

Very delicious



"
Mons coffee Malang,ChIJ6XucHp4mcC4RYQCvhXnhu08,"Jl. Sigura - Gura No.11, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, point_of_interest, food, establishment",5,3,,"makes you miss it... like an addiction...

great drinks and food, thank you also for being a loyal customer of Jawara Malang

"
PAMS,ChIJ6Xz7lAFBdy4RKxf0_-zEhlA,"Jl. Raung No.15, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia","cafe, point_of_interest, food, establishment",5,3,,"Free vegetable toppings on each ice

Nice to hang out

really"
Warung Kopie Sarkawie,ChIJ6y7nCeiDeC4RedOmi2bPsXg,"Jl. Wisnu Wardhana No.25, Candirenggo, Kec. Singosari, Kabupaten Malang, Jawa Timur 65153, Indonesia","cafe, food, point_of_interest, store, establishment",4.6,238,1,"Many of the best types of coffee you should enjoy are here☕
Live music from the best singer will accompany you🎸🖤
So promptly make a reservation to enjoy family and friends🤗

Good place, cheap price.

Nongki recommended

The beverage and food is delicious

Wasyik"
Tempat Ngopi Museum Brawijaya,ChIJ6YDPAbmDeC4RmscMMCSq364,"Jl. Retawu No.4, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia","cafe, store, point_of_interest, food, establishment",4.2,44,,"outdoor

The employees are not friendly
For a comfortable place

Hanging out like a young millennial accompanied by hot chocolate and coffee and music according to the taste of the shop owner..

The place is good for looking for coffee on Jalan Ijen. The price is cheap, the place is in a museum environment

Haven't tried it yet... 3 first... If it's good, don't give it 5"
Aichips Crispy,ChIJ6YGpZXor1i0RQcqNdxIjj-E,"Perum Bulan Terang Utama KR21 No. 7, Jl. Raya Ki Ageng Gribig, Madyopuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138, Indonesia","cafe, point_of_interest, food, establishment",4.7,44,,"Pen ksnaa

its a simple but clean place. here I have crispy intestines with a spicy taste,,, and it's spicy... really delicious. with sufficient packaging and added a skewer that is used to take food while being put in the mouth slowly while feeling the taste ... then the delicacy is really great.

Actually the best.. the crispy is also delicious, lots of choices-- affordable prices of course.. great..

I've tried the mushrooms twice. Delicious and crispy, you can request the level of spiciness. This is aichir* cheap version. Can delivery orders. Many high school 4 children order here. It's true that most of those who order are students because apart from being delicious, it's not heavy on the pocket hehe

The place is comfortable with affordable prices 👍👍👍
I hope it will be smooth and successful always...amen 🙏🤲🤲🤲🙏"
Hard Beat Cafe,ChIJ6zdCMHCHeC4RWcxGxyjbUr8,"Jl. Cimanuk No.2, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122, Indonesia","cafe, point_of_interest, food, establishment",4.3,10,,"Well done

nice place





"
BURGER MURDER,ChIJ6ZjYVfWBeC4Rr1R39KSrSSk,"2JV7+394, Jl. Bendungan Sutami, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, food, point_of_interest, establishment",4.7,42,,"Burger Murder serves good quality of burger in town. They use oatmeal bread and good taste of meat petty. Petty thickness is quite good. Pricing is moderate. Burgers can be ordered by food delivery app

delicious

too expensive

Good

In my opinion, this original is premium, while there are many cashless discounts on gofood too. From the price of 25k to 10.5k for pick up orders
The burger murder and the gofood are great"
Kedai Kopi Espresso Bar,ChIJ6zMrsekp1i0ROU6on4covOA,"Jl. Soekarno Hatta Gg. Coklat No.10, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, convenience_store, store, point_of_interest, food, establishment",3.6,5,,"Wow is the majic

Nice

A suitable place for a large gathering



"
Kopi Kurang Lebih Dinoyo,ChIJ6ZQWVV_Z1y0R_k-JDqf6Wqc,"Jl. MT. Haryono No.17A, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, store, food, point_of_interest, establishment",4.8,38,,"Nice place to hangout or working

cozy

Want to explore the menu again here! what makes the difference the most is because there is a pok pok booth hehe. The place is really comfortable for work. There are other co-working space spots that you can find out about via their Instagram. As far as I know, every month they have a bundling package promo like that 👍🏻

Can you suggest a menu, please, what to try, yesterday I tried legit coffee but it's still too bitter for me 🤤

I also tried the skin rice, after asking for the description & my sister answered it had shredded chicken gt but when it came it wasn't there 🤣🥲

The coffee menu is really recommended, it doesn't make stomach acid even though it's strong. Here also available a variety of pastries and snack staples. There is also a coworking space on the 2nd floor.

The place is crowded maybe because it's a campus area too. The taste of the food and drinks is not bad especially because there are staples too."
Warung Bu Fahmi,ChIJ6ZsipkDH1y0RMK8YLcTOybc,"Jl. Seram No.16, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia","cafe, food, point_of_interest, establishment",4.8,4,,"good coffee while waiting for police call,





"
KPK CAFE,ChIJ6zuuF9iDeC4R2XDxlj5GuB0,"Ruko Sumbersari, Jl. Raya Sumbersari No.89, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia","cafe, food, point_of_interest, establishment",4.3,47,,"Love the food, you can upgrade your rice portion to extra large with no additional charge. Also the dining area is very cozy and tranquil

cozy caffe for nongki

Not so good

Cozy place

One of the places to eat and drink that in my opinion the menu is delicious, the price is right, the room is comfortable and really good for eating with family, friends. nothing to lose try here. As the name implies, the KPK chef, after eating, you will definitely come out very full."
Roketto Coffee & Co,ChIJ7_j7iB0p1i0RrTsh4q_XSJE,"Jl. Kendalsari No.06, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, point_of_interest, food, store, establishment",4.5,2925,2,"+ Industrial - Japanese Coffee shop
+ Various menu from coffee, desert until food
+ Open 24 hours
+ Strategic location
+ Parking Lot available
+ Indoor and Outdoor seating available
+ Busier in afternoon until midnight
+ Smoking room in indoor area (second floor)
+ AC in the toilet
+ Love the facade
+ Love the signage
- No upgrade since open
- Dying plant
- Puff upstairs didn’t getting take care of.
- Books in shelves are too fragile. Need an upgrade
- Some table is not ergonomic, its uncomfortable if we work in those.
- Parking lit for car are limited

Pretty much I like the concept, and honestly didn’t get bore with this cafe. I like working or studying here. Especially in downstairs (even though there’s not much sitting area)

Industrial concept with a touch of Japanese. They have various kinds of beverages and food. I ordered matcha latte, it was quite good but still it's got more milk than matcha itself.

Best place to hangout and get coffee and be comfortable enough to do assignments at. be prepared to struggle over the good spots as they're almost always taken. great place, great food & drinks.

+ Industrial - Japanese Coffee shop
+ Various menus: coffee, desert & food
+ Open 24 hours
+ Strategic location
+ Parking Lot available
+ Indoor and Outdoor seating available
+ Busier in afternoon until midnight
+ Smoking room in indoor area.

Industrial concept with a touch of Japanese. They have various kinds of beverages and food. I ordered matcha latte, it was quite good but still it's got more milk than matcha itself.

The place is spacious,  they've got two floors. Unfortunately the indoor non-smoking is not that much. Whereas the smoking area is wider. I might say it is a semi-indoor place, because the smoking room is indoor too.

best place to hangout and get coffee and be comfortable enough to do assignments at. be prepared to struggle over the good spots as they're almost always taken. great place, great food n drinks, 9/10.

No photo for blueberry yogurt drink their have, but it’s a total bomb for me. Balance taste of yogurt and jelly so refreshing and fun. Foods on display also tempting. One of my concern is their smoking area was dirty when i come there, many ashes on the floor and the table."
Kali Sawah,ChIJ7-A3fbXX1y0R7lCKz2PGx3o,"Jl. Simpang Golf No.7, Tasikmadu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65153, Indonesia","cafe, point_of_interest, food, establishment",4.6,23,,"+ The place is a bit in, so it's not too noisy
+ near rice fields, cool air
+ Standard price
+ there is a play ground, although not too many choices of toys

- service is a bit long
- playground has a separate fee (you will know when paying the bill)
- if it rains, the rest of the rain will take a while to seep. So it's a bit muddy

Definitely can be improved more. Good luck

Personal rating : 7/10 👍🏽

[/zs]

good for metime healing view of rice fields

Waiting for the food to come while playing on the swing and enjoying the atmosphere. Exciting and fun.

Food
The place
Presentation
Entertainment
Price
All affordable
5 star recommendation

You have to try, the food here is all delicious and not expensive
Recommended"
Kopi Janji Jiwa,ChIJ7-nmbnkp1i0RM-JNCvzsnqg,"Jl. Borobudur No.65, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, food, establishment",4.6,321,,"Janji Jiwa is one of the coffee shops that I regularly visit.  I feel good with coffee and the menu.  The service here is friendly and fast, no need to wait long to enjoy their offerings.  For dine-in is quite comfortable even though there are only a few places inside and outside the room.  Maybe the number of take-away menus makes the Janji Jiwa limit his seat.  I highly recommend this place.

The store need to pay attention on cleanliness of the place, taste are good, but the ambient is so so

Nice cozy place with good service👍🏻👍🏻

Small but cozy coffeeshop, either to dine in or take away. Many beverages option available, coffee or non coffee, iced or cold. Affordable price and tasty too

Ok"
Punokawan Coffee,ChIJ7-WTkyD51y0R9ycSovhv_Nc,"Jl. Joyo Agung Depag II No.Kavling 4, Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia","cafe, food, store, point_of_interest, establishment",4.5,100,,"Good

Matcha good

Cozy

TOP

Oh yesssss"
Rany Cafe,ChIJ70wS7m2DeC4RciJGSEEA0-c,"Jl. Hamid Rusdi No.45, RW.3, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia","cafe, food, point_of_interest, establishment",5,3,,"



"
HiCups,ChIJ71JlETeDeC4Rbs3bRB398Wg,"Jl. Simpang Wilis Indah No.19, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia","cafe, food, point_of_interest, establishment",5,2,,"Very good, the portion is really satisfied

Aseek"
MAHBOEN Coffee,ChIJ71kEKoiDeC4REWqPKBOxpM4,"Jl. Simpang Panji Suroso No.137, Arjosari, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia","cafe, store, food, point_of_interest, establishment",4.6,225,,"A very nice garden coffee shop in town! Located not close enough from the big street made this cafe somewhat peaceful. Moreover, coupled with the large number of plants here and there made it's cafe so much cozy than it is. Instagrammable corner is easily found if you're in need to update your social media.

I visited for lunch and did my work with friends. I experienced a delicious coffee with reasonable price and caring staff. The service was above average. The decor is a stunning with plants theme. I love the atmosphere and ambiance. This place has instagramable spot too. But I thing they need to improve the amount of toilet and the quality of Musholla. Overall this cafe left me an amazing experience and I can't wait to return. wouldn’t hesitate to recommend to anyone looking for somewhere to hang out with friends.

Shoutout to the good taste of the playlist. Love it!

Beautiful place, with very friendly and helpful staff on duty. For foreigners do spray mosquito repellant first as this place decorated with potted plants and trees, expect to donate a few ounces of your blood.

Price is considered normal for a cafe, give them a try if you are looking for a place to relax and gather photo content.

If you are a coffee addict, I suggest that you order a hand brew, about 4 beans profile for you to choose from. My feedback is that they consider upgrading their espresso machine and grinder for better shots and milk frothing. Not a fair comment maybe cause I have high expectations over espresso base coffee.

A typical cafe with a greeny ambiance. Sad to see several broken tables full of ants. ☹️

Outdoor vibes with a nice spot to take photos, cozy place for hangout or getting some me time"
Tea Break Matos,ChIJ723h3u_xdy4Rc7FPhpFEgvI,"Malang Town Square, Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, store, food, point_of_interest, establishment",4.9,30,,"To order from outside the outlet, take the drink and then go inside.
Payment can be via cash / using qris so it's not complicated.
For those who want to drink on the spot, several seats and tables are also provided.

One of my favorite drinks. The taste of the drink is good, at a low price. Very affordable especially for the size of a mall. My favorite is Chocolate milk and Brown sugar milk. There is also a new menu for Dalgona coffee..recommended..

fast service, the place is not spacious but it's okay

The queue was a bit long because it was approaching breaking time. But it's really fast.

Fast service, clean waiting area, the newest cheese tea menu is very tasty"
Kamsia Boba,ChIJ72oJAT381y0RZ6aVk1QQ1LQ,"Jl. Candi Panggung No.72, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, food, establishment",4.2,23,,"I was here when I was at the Transmart, right? kamsia boba is pretty good, but when I bought it, the cashiers were a bit harsh :((( seriously. I was there with my friends and when we ordered her face was a bit awkward... but I give 5 stars because kamsia boba is very frequent do promos like that. You know very often, you know. So I suggest you check the Malang promo often so you know the promos for kamsia boba. The price starts from 18k if I'm not mistaken and the cup is really big. It's really wide. I like the chocolate variant the most!!!

The boba drink is delicious, but the seal on the lid is not strong, so one house is broken. :(

it really tastes like this is the best boba anyway. the price is not expensive but super delicious. the best one is the original brown sugar, I've tried other flavors but it's not great.. this is already delicious, the cheese is ok, the sweetness is just right.. instead of buying another brand which is already expensive, 20 thousand and above, it's not worth it, it's better to just buy this

40 thousand buy 2 get 1 free, cheap, the boba is delicious, it's just that the packaging pays more attention because the order via Gofood spilled a bit 2 cups, the original free one is also no less delicious than the taro boba, the sweetness doesn't disappear ""even I just want to finish it, it's a shame, coz the milk tastes fresh and delicious,

Malang Plaza branch. Too much fun with friends. So customers wait a long time"
Kantin Lavalette,ChIJ72Otp8op1i0R6GB900gyiIE,"2JMQ+F7R, Rampal Celaket, Klojen, Malang City, East Java 65111, Indonesia","cafe, food, point_of_interest, store, establishment",4,21,,"At least not worry about starvation at breakfast. The canteen is clean and has a varied menu of food. Because no price list is provided, it's better to ask the price of the food to be ordered.

Prices are not friendly for people who in fact are in trouble. Suggestion if you want to buy, ask the price first. Hopefully in the future it will be more reliable and a menu + price list will be made, sis

Clean and cheap. The food is good too.

In terms of taste, it's so so. In terms of price, it's a bit pricey. Buy side dishes, 2 servings of spinach, 2 corn pancakes, 2 tilapia fish, almost 35 thousand more

The food is okay, but when you pay, be careful the count is not honest, it's better to ask first so you know the price. I've been on the 24th, June 2021, I ate out 18 thousand and counted 24 thousand, after I asked for the details🙏🙏🙏"
Warkop Ngopicoffee,ChIJ73TbECgp1i0Rcegl0SZbisQ,"Jl. Bunga Camalia No.7, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, store, food, point_of_interest, establishment",5,1,,"The coffee is soooooo...
The place is simple yet clean"
Terang Bulan & Martabak Mr.F,ChIJ74RhGZ2CeC4RSXUDWdQUG7s,"Jl. Simpang Wilis Indah No.11C, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65115, Indonesia","cafe, food, point_of_interest, establishment",5,14,,"Great....
The place can be refreshed after work & get together with friends
TB is great

The price is cheap, the taste hasn't changed from 99.

The price is cheap and tastes good, recommended for students.

Turkish is great

Recommend and cheap prices 👍👍👍"
Latar Pojok,ChIJ74XQ5yeCeC4RaakwFBstgRk,"Jl. Terusan, Jl. Ikan Tombro Jl. Terusan Sudimoro, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65412, Indonesia","cafe, food, point_of_interest, store, establishment",4.8,39,,"Cozy place and many good menu there, also live music in everysingle night. great place

Very nice and staff friendly

Steady breezes, friendly service, pocket-friendly prices

The place is comfortable, the view makes you feel at home, the menu is complete to accompany hanging out until the evening,,

Just found this place yesterday. It turned out cool too. It's cool on the edge of the rice fields because it's really mojok wkwk"
malang,ChIJ75KhXa4p1i0RnhhVktNIwMM,"2J6V+64W, Gg. Permadi, Polehan, Kec. Blimbing, Kota Malang, Jawa Timur, Indonesia","store, cafe, point_of_interest, food, establishment",4,1,,
Solid Corner,ChIJ76ajRsGDeC4RYMkzEg7DRaU,"Jl. Kedondong No.2, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116, Indonesia","cafe, restaurant, food, store, point_of_interest, establishment",5,8,,"The location is comfortable, quiet, there is also wifi suitable for chatting, doing assignments, etc

The place is okay for nongki, only the parking lot is not wide enough, it's a bit difficult for cars

the place is okay, and the coffee tastes good fresh.

recommended food menu: kwetiaw
recommended drink: coffee, Gayo wine

Good coffee is delicious for meetings, the place is quiet, comfortable

"
Warung Mimi,ChIJ76gDy5Yh1i0R7gpKriYmyek,"Jl. Dokter Wahidin No.42, Rampal Celaket, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, food, point_of_interest, establishment",4.9,10,,"one of the stalls in the area of ​​jl. Wahidin is close to SMPN 3 and the SATPAS office, right in front of the Wilis Hotel, so it's easy to find. Some of the food and drink menus are quite interesting to try. It tastes good, the price is friendly..

The location is very strategic. The location is right in front of the Wilis Indah hotel. The shop is clean and comfortable. The seller is also friendly. There are several food and drink menus offered here. Nasi Krawu Tripe really likes it 👍👍👍 It tastes good and the price is friendly. This shop accepts orders too.

Nice place, delicious food.
The tripe rice menu recommends it.
The sambal adds to it.

Suitable for those who want to have breakfast or lunch here.

The price is a little expensive for the size of the stall, the taste is decent, the location is strategic

When will I definitely visit and enjoy Warung Mimi's processed dishes"
BU.MI. Cafe,ChIJ773yib4p1i0RwPv4__CVcW4,"Jl. Danau Kerinci P3 E24A, Sawojajar, Kec. Kedungkandang, Kota Malang, Jawa Timur 65139, Indonesia","cafe, point_of_interest, food, establishment",4.3,380,1,"internet wifi speed is average, taste of food is below average, nothing special

It's a quite nice cafe overall. But I don't really like the taste of the drinks and foods that the offer. The cafe has an outdoor concept also.

flag{Bum1_c4f3_th3b3st}

The place is great, but the menu is ordinary

Cozy place. Fairly cheap"
KOPI LOCARI,ChIJ77aNM57V1y0RA2fQuojmcds,"Jl. Lebaksari No.4, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141, Indonesia","cafe, store, food, point_of_interest, establishment",4.9,71,,"Quite simply a perfect place to escape from hustle and bustle of Malang City.. great atmosphere. Heck, you can even service and saloon your bicycle! 😂

Homey

homey

Coffee n bike service

Amazing"
Hindia Koffie En Eaten,ChIJ77SuM6tBdy4RsnoqfluqvPQ,"Jl. Simpang Ijen No.7, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia","cafe, store, point_of_interest, food, establishment",4.4,354,,"Good place to hang out, but not really good food you can have here. Spacious, cozy and has outdoor seatings. But i don't really recommend the food. It tastes just meh. And the beverages need lots of improvement, for that range of price. Haven't tried the snack and not interested in trying one.

The place is decent I would say, I especially loved the interior and outdoor settings. The cafe has transformed the dutch building with blue and white stylings. Quite different what you easily see, for me the architecture stand out when I was driving my motorcycle, piqued my curiosity.
The coffee was fine, not the best. Expecting the manual V60 Japanese brew to be more delicate but it’s mainly depend on the barista to bring out the taste.

I think this is one of those cafes where you can spend time chatting with a group of friends. Well, it's great for couples too but I think the vibe is not so much suitable for that.
First time at Hindia, we ordered hazelnut latte, some kind of tea and their platter menu. Well, I can't say something special about those three menus.
But I think they need to reconsider putting away those tables placed on the outer side of the outdoor area.

It is a coffee shop and eatery as well. Coffee is basically prepared from a group of selected beans with a coffee machine; so there is nothing special. The menu is rather complete, offering main dishes and snacks. The price is affordable and the location is strategic.

Good beverages. I ordered avocado coffee and it's pretty okay-ish. The food surprisingly came out really good. We ordered kwetiau and banana fritters. The kwetiau was great, meanwhile the banana was okay. The place overall was comfortable, but the service wasn't that great. We asked for smoking area and directed to non smoking area just to be scolded by another waiter lol"
Teh Kuning,ChIJ77uEyhn71y0RH3g0EIz6nuI,"Jl. Sudimoro No.11, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia","cafe, point_of_interest, food, establishment",3,1,,"The tea is fresh and cheap guys.. you can order via grab/go food
Then every Friday there is a blessing package with a special price too..
Can give alms to the mosque too"
Teras Cafe,ChIJ77Y1NVwr1i0RUMkIWsCdpQM,"Jl. Veteran No.2, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia","cafe, point_of_interest, food, establishment",5,1,,",🤘"
Dream Bike & Coffee,ChIJ77y5dN0p1i0RGiR_sjTxms0,"Jl. Raya Tidar No.32B, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146, Indonesia","bicycle_store, cafe, store, point_of_interest, food, establishment",4.9,42,,"friendly, fast response and close from my home

🄱🄴🅂🅃 👍👍

The service is satisfying.. Keep up the quality. Opening hours are early.. 😁😁😁

For the community, if you can, the price is more brotherly, bro, bro, if you can hold a challenge or fun event, bro ... Let's continue to keep in touch with other Mancal Communities, especially in Malang🙏

Really recommended.. Seller is friendly, it's really nice to open until midnight.. so I can fix my bike after work.. Really top 👍🏻👍🏻👍🏻 Keep going bro.. 🙏🏻"
